method,n,r,c,paths,ML,MPL,total_edges
SAP,400,0.4,5,389,16.14910025706941,1.7943444730077123,28014
DFS,400,0.4,5,82,4.2073170731707314,0.46747967479674796,28014
MAXCAP,400,0.4,5,74,7.608108108108108,0.8453453453453453,28014
RANDOM,400,0.4,5,73,4.972602739726027,0.5525114155251142,28014
SAP,150,0.15,10,18,27.944444444444443,1.27020202020202,752
DFS,150,0.15,10,6,12.833333333333334,0.5833333333333334,752
MAXCAP,150,0.15,10,3,17.333333333333332,0.7878787878787878,752
RANDOM,150,0.15,10,7,14.285714285714286,0.6493506493506493,752
SAP,500,0.2,50,351,37.484330484330485,1.209171951107435,13292
DFS,500,0.2,50,37,8.18918918918919,0.26416739319965127,13292
MAXCAP,500,0.2,50,34,25.58823529411765,0.825426944971537,13292
RANDOM,500,0.2,50,38,10.421052631578947,0.3361629881154499,13292
